statusCode,body__Items__gameStatus,body__Items__awayhome,body__Items__location,body__Items__season,body__Items__gameUID,body__Items__odds__total,body__Items__odds__history__date,body__Items__odds__history__total,body__Items__odds__history__prices__spreadHomePrice,body__Items__odds__history__prices__totalOverPrice,body__Items__odds__history__prices__spreadAwayPrice,body__Items__odds__history__prices__totalUnderPrice,body__Items__odds__history__spread,body__Items__odds__prices__spreadHomePrice,body__Items__odds__prices__totalOverPrice,body__Items__odds__prices__spreadAwayPrice,body__Items__odds__prices__totalUnderPrice,body__Items__odds__spread,body__Items__sport,body__Items__startDateTime,body__Items__homeTeam__shortName,body__Items__homeTeam__fullName,body__Items__homeTeam__code,body__Items__gameWeek,body__Items__year,body__Items__results__homeTeam__score,body__Items__results__total,body__Items__results__awayTeam__score,body__Items__results__spread,body__Items__stadium,body__Items__gameId,body__Items__awayTeam__shortName,body__Items__awayTeam__fullName,body__Items__awayTeam__code,body__Count,body__ScannedCount
,Unplayed,PHISF,"Santa Clara, California",Regular,3039204,45,Mon Sep 28 2020 18:29:52 GMT+0000 (Coordinated Universal Time),45,-112,-108,101,-103,-6,108,-108,-120,-103,-7.5,nfl,Mon Oct 05 2020 04:20:00 GMT+0000 (Coordinated Universal Time),49ers,San Francisco 49ers,SF,4,2020,,,,,Levi's Stadium,2020regPHISF,Eagles,Philadelphia Eagles,PHI,,
,,,,,,,Mon Sep 28 2020 18:33:40 GMT+0000 (Coordinated Universal Time),45,-112,-108,101,-103,-6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mon Sep 28 2020 22:33:26 GMT+0000 (Coordinated Universal Time),45,-112,-108,102,-103,-6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tue Sep 29 2020 09:00:30 GMT+0000 (Coordinated Universal Time),45,-113,-108,102,-103,-6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Wed Sep 30 2020 09:00:26 GMT+0000 (Coordinated Universal Time),45,111,-102,-123,-109,-7.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 09:00:26 GMT+0000 (Coordinated Universal Time),46,109,-105,-120,-106,-7.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Thu Oct 01 2020 22:08:24 GMT+0000 (Coordinated Universal Time),46,108,-105,-120,-106,-7.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Fri Oct 02 2020 09:00:26 GMT+0000 (Coordinated Universal Time),46,110,-106,-121,-105,-7.5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sat Oct 03 2020 09:00:25 GMT+0000 (Coordinated Universal Time),45,108,-108,-120,-103,-7.5,,,,,,,,,,,,,,,,,,,,,,,
,Unplayed,JAXCIN,"Cincinnati, Ohio",Regular,3505803,49,Mon Sep 28 2020 18:29:52 GMT+0000 (Coordinated Universal Time),47,110,-111,-122,100,-3.5,-106,-107,-104,-104,-2.5,nfl,Sun Oct 04 2020 21:00:00 GMT+0000 (Coordinated Universal Time),Bengals,Cincinnati Bengals,CIN,4,2020,,,,,Paul Brown Stadium,2020regJAXCIN,Jaguars,Jacksonville Jaguars,JAX,,
,,,,,,,Mon Sep 28 2020 18:33:39 GMT+0000 (Coordinated Universal Time),47,110,-111,-122,100,-3.5,,,,,,,,,,,,,,,,,,,,,,,
